Ancestry,SiteID,Lon,Lat,Date,SpeciesSymbol,SiteTotalFrames,Composition,ProtocolType,JunipCover
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,2FA,100,4.9,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,2GA,100,0.9,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,ABUTI,100,1,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,ARTE3,100,2.8,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,BOCU,100,28.6,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,BOER4,100,4.3,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,BOGR2,100,2.7,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,BOHI2,100,8.2,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,CEGR,100,1.6,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,ELEL5,100,0.1,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,ERWR,100,1.7,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,GUSA2,100,0.6,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,HIBE,100,5.8,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,MIAC3,100,10.9,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,PAHA,100,1.7,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,QUTU2,100,21.1,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,RHIL,100,0.1,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,RHTR,100,0.4,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,SPAM2,100,0.4,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,SPCR,100,0.3,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,VEGO2,100,1.9,USFS R3 Tenth Acre,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,2FA,100,17,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,2GA,100,16.3,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,ARIST,100,1.3,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,ASTER,100,1.2,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,BOCU,100,1,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,BOGR2,100,0.1,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,CAHU,100,11.4,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,CEGR,100,5.3,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,CEMO2,100,2.2,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,DAPU7,100,3.8,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,ELEL5,100,0.2,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,ERIOG,100,2.4,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,GUDE,100,0.2,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,GUSA2,100,4.6,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,HIBE,100,0.8,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,QUTU2,100,24,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,RHTR,100,1.4,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,SPAM2,100,1.7,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,SPCR,100,1.3,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,VEGO,100,1.8,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Doce Root Plow Pasture,03-09-03-00304-004-C03,-112.59639678593051,34.59314502235114,11/14/2025,VERBA,100,2,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,2FA,100,16.5,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,2GA,100,4.7,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,ARIST,100,7.3,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,BOCU,100,2.3,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,BOGR2,100,1.4,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,BRTE,100,9.2,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,CIRSI,100,1.5,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,CYLIN2,100,0.2,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,ELEL5,100,1.2,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,ERCI,100,0.4,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,ERIOG,100,1.9,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,ERWR,100,1.4,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,HYMEN12,100,0.6,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,IPOMO,100,0.4,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,JUDE2,100,2.8,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,LYMA,100,0.7,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,OPAC,100,0.1,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,OPEN3,100,0.4,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,PAOB,100,34.2,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,PPFF2,100,0.1,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,SPCR,100,8,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Unknown Pasture,03-09-03-00304-XXX-C06,NA,NA,12/4/2025,SPHAE,100,4.7,USFS R3 Tenth Acre,3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,2FA,100,3.8,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,2GA,100,0.6,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,ACWR5,100,0.7,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,ARIST,100,0.7,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,BOCU,100,18.7,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,BOGR2,100,3.5,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,BOHI2,100,0.4,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,CAHU,100,0.1,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,CEGR,100,1.6,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,CIRSI,100,1.8,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,ELEL5,100,2.6,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,ERAI3,100,1.4,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,ERWR,100,13.5,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,HIBE,100,38.1,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,HYMEN4,100,0.1,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,JUDE2,100,5.1,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,MATA2,100,2.1,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,OPEN3,100,0.2,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,OXAR6,100,0.1,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,PENST,100,0.1,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,QUTU2,100,3.1,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,RHIL,100,0.9,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,RHTR,100,0.4,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Burnt Ranch Allotment > Willow Pasture,C03-09-03-00304-007-C08,-112.52258254484705,34.589715342802,12/4/2025,SPRU2,100,0.4,USFS R3 Tenth Acre,5
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,2FA,44,12.045454545454545,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,2GA,44,16.136363636363637,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,ARIST,44,0.22727272727272727,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,BAPT,44,0.22727272727272727,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,BOCU,44,2.0454545454545454,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,BOGR2,44,0.22727272727272727,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,CEGR,44,5.2272727272727275,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,CEMO2,44,1.5909090909090908,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,DAPU7,44,7.954545454545454,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,ELEL5,44,0.45454545454545453,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,ERIOG,44,3.8636363636363638,NA,NA
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Cold Springs Allotment > Spruce Pasture,03-09-03-00305-009-C01,-112.63742251966067,34.57182673186863,11/14/2025,GUSA2,44,6.818181818181818,NA,NA
